,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,clusters,cluster
633,3.70719456672668,9.11711692810059,0.54836905002594,63.4000015258789,0.46372252702713,-0.267679572105408,0.69734001159668,0.35095676779747,0.235846742987633,0.327633678913116,0,pink
634,4.156090259552,9.14405250549316,0.607512712478638,63.5,0.613997399806976,-0.225291982293129,0.497999459505081,0.371024489402771,0.261508077383041,0.507006943225861,0,pink
635,3.80063915252686,9.11574649810791,0.543513059616089,63.5999984741211,0.495314002037048,-0.233547449111938,0.534585297107697,0.391252249479294,0.242350146174431,0.426240921020508,0,pink
636,4.10183715820313,9.18366050720215,0.540388941764832,63.7000007629395,0.557857930660248,-0.248665943741798,0.459736317396164,0.401716351509094,0.242536306381226,0.616302013397217,0,pink
637,4.20303058624268,9.26307201385498,0.502937376499176,63.7999992370605,0.632464528083801,-0.255989640951157,0.353346407413483,0.421274065971375,0.246770426630974,0.657343626022339,0,pink
638,4.25444555282593,9.33218193054199,0.532586455345154,63.9000015258789,0.658724009990692,-0.270159751176834,0.320887595415115,0.44348606467247,0.250087857246399,0.610841631889343,0,pink
639,4.34892082214355,9.37076473236084,0.559165775775909,64.0,0.722127616405487,-0.25529545545578,0.348713606595993,0.467081725597382,0.199907079339027,0.633562743663788,0,pink
640,4.28750801086426,9.41366004943848,0.55842000246048,64.0999984741211,0.719781160354614,-0.234228029847145,0.415525645017624,0.458110958337784,0.204327508807182,0.528196215629578,0,pink
641,4.12194061279297,9.44186019897461,0.517371594905853,64.1999969482422,0.639944970607758,-0.206092149019241,0.502416789531708,0.447714149951935,0.233192086219788,0.254327297210693,0,pink
642,4.44838619232178,9.46991157531738,0.533412277698517,64.3249969482422,0.606468379497528,-0.250496089458466,0.560924053192139,0.474852561950684,0.223224475979805,0.344541132450104,0,pink
643,4.45077466964722,9.51706790924072,0.59049516916275,64.4499969482422,0.820908784866333,-0.245254889130592,0.589631974697113,0.495819479227066,0.209639608860016,0.296396225690842,0,pink
644,4.65909719467163,9.56475162506104,0.617218554019928,64.5749969482422,0.775144100189209,-0.234125003218651,0.754853785037994,0.479062020778656,0.243778914213181,0.300006181001663,0,pink
645,4.89183568954468,9.61508941650391,0.674976050853729,64.6999969482422,0.810534119606018,-0.261063098907471,0.647223174571991,0.502834856510162,0.243710026144981,0.405210345983505,0,pink
